index,data
1,"[57, 42, 32, 62, 17, 73, 54, 12, 44, 13]"
2,"[37, 65, 15, 3, 50, 32, 62, 78, 22, 80]"
3,"[63, 30, 16, 17, 18, 62, 29, 66, 52, 47]"
4,"[79, 65, 11, 29, 34, 44, 33, 48, 31, 78]"
5,"[9, 44, 55, 1, 73, 33, 71, 40, 51, 72]"
6,"[37, 57, 76, 26, 80, 3, 71, 30, 25, 75]"
7,"[19, 23, 34, 49, 8, 77, 24, 27, 43, 11]"
8,"[70, 27, 2, 12, 17, 78, 57, 30, 3, 60]"
9,"[32, 46, 34, 52, 62, 20, 15, 50, 26, 73]"
10,"[71, 13, 5, 55, 29, 38, 48, 69, 44, 14]"
11,"[4, 16, 15, 36, 47, 14, 52, 72, 46, 67]"
12,"[5, 3, 53, 59, 38, 17, 34, 1, 35, 67]"
13,"[52, 48, 58, 6, 2, 32, 8, 9, 19, 10]"
14,"[74, 67, 13, 58, 44, 23, 65, 20, 25, 55]"
15,"[31, 9, 29, 30, 63, 62, 76, 24, 18, 36]"
16,"[47, 67, 70, 18, 19, 48, 7, 61, 68, 40]"
17,"[49, 78, 64, 67, 2, 21, 18, 53, 12, 3]"
18,"[11, 51, 2, 22, 33, 58, 4, 25, 26, 29]"
19,"[80, 14, 52, 27, 40, 50, 36, 12, 68, 60]"
20,"[12, 8, 1, 36, 65, 31, 54, 16, 79, 62]"
21,"[5, 42, 71, 13, 46, 55, 27, 33, 9, 34]"
22,"[65, 69, 78, 7, 2, 52, 33, 5, 63, 47]"
23,"[23, 5, 60, 11, 76, 21, 55, 34, 27, 32]"
24,"[9, 60, 30, 20, 63, 38, 56, 26, 65, 21]"
25,"[60, 9, 46, 37, 15, 80, 30, 32, 26, 56]"
26,"[42, 34, 52, 12, 28, 2, 11, 41, 36, 72]"
27,"[72, 3, 49, 43, 13, 34, 71, 74, 54, 70]"
28,"[66, 57, 69, 61, 12, 27, 58, 63, 28, 74]"
29,"[61, 47, 21, 38, 67, 33, 45, 30, 23, 73]"
30,"[18, 59, 7, 56, 69, 24, 1, 41, 51, 70]"
31,"[50, 48, 14, 78, 80, 36, 24, 23, 46, 34]"
32,"[78, 10, 65, 53, 67, 21, 72, 43, 1, 28]"
33,"[42, 64, 80, 14, 77, 38, 8, 27, 24, 65]"
34,"[61, 65, 3, 9, 1, 10, 44, 75, 17, 35]"
35,"[13, 21, 63, 33, 29, 49, 30, 16, 41, 12]"
36,"[10, 76, 66, 33, 19, 22, 7, 16, 34, 61]"
37,"[61, 3, 41, 42, 10, 73, 34, 35, 76, 53]"
38,"[59, 32, 26, 52, 56, 31, 41, 68, 9, 36]"
